Timestamp,Device Address,Filtered_RSSI
2025-05-01 16:38:54,2C:CF:67:C8:DD:D0,-72.0
2025-05-01 16:38:56,2C:CF:67:C8:DD:D0,-76.0
2025-05-01 16:38:58,2C:CF:67:C8:DD:D0,-72.0
2025-05-01 16:39:01,2C:CF:67:C8:DD:D0,-65.0
2025-05-01 16:39:02,2C:CF:67:C8:DD:D0,-63.0
2025-05-01 16:39:03,2C:CF:67:C8:DD:D0,-65.0
2025-05-01 16:39:05,2C:CF:67:C8:DD:D0,-73.0
2025-05-01 16:39:06,2C:CF:67:C8:DD:D0,-73.0
2025-05-01 16:39:07,2C:CF:67:C8:DD:D0,-62.0
2025-05-01 16:39:08,2C:CF:67:C8:DD:D0,-62.0
2025-05-01 16:39:10,2C:CF:67:C8:DD:D0,-63.0
2025-05-01 16:39:11,2C:CF:67:C8:DD:D0,-63.0
2025-05-01 16:39:15,2C:CF:67:C8:DD:D0,-60.0
2025-05-01 16:39:16,2C:CF:67:C8:DD:D0,-60.0
2025-05-01 16:39:17,2C:CF:67:C8:DD:D0,-57.0
2025-05-01 16:39:21,2C:CF:67:C8:DD:D0,-58.0
2025-05-01 16:39:22,2C:CF:67:C8:DD:D0,-58.0
2025-05-01 16:39:24,2C:CF:67:C8:DD:D0,-58.0
2025-05-01 16:38:58,2C:CF:67:C8:DD:EA,-59.0
2025-05-01 16:38:59,2C:CF:67:C8:DD:EA,-56.0
2025-05-01 16:39:00,2C:CF:67:C8:DD:EA,-57.0
2025-05-01 16:39:02,2C:CF:67:C8:DD:EA,-57.0
2025-05-01 16:39:03,2C:CF:67:C8:DD:EA,-63.0
2025-05-01 16:39:05,2C:CF:67:C8:DD:EA,-63.0
2025-05-01 16:39:08,2C:CF:67:C8:DD:EA,-61.0
2025-05-01 16:39:09,2C:CF:67:C8:DD:EA,-57.0
2025-05-01 16:39:11,2C:CF:67:C8:DD:EA,-57.0
2025-05-01 16:39:12,2C:CF:67:C8:DD:EA,-57.0
2025-05-01 16:39:13,2C:CF:67:C8:DD:EA,-61.0
2025-05-01 16:39:14,2C:CF:67:C8:DD:EA,-61.0
2025-05-01 16:39:16,2C:CF:67:C8:DD:EA,-61.0
2025-05-01 16:39:17,2C:CF:67:C8:DD:EA,-62.0
2025-05-01 16:39:18,2C:CF:67:C8:DD:EA,-61.0
2025-05-01 16:39:20,2C:CF:67:C8:DD:EA,-61.0
2025-05-01 16:39:21,2C:CF:67:C8:DD:EA,-60.0
2025-05-01 16:39:22,2C:CF:67:C8:DD:EA,-60.0
2025-05-01 16:39:23,2C:CF:67:C8:DD:EA,-62.0
