RP_ID,X,Y,2C:CF:67:C8:DD:D0,2C:CF:67:C8:DD:EA
1,400,150,-64.33333333333333,-63.0
2,350,150,-64.42857142857143,-57.357142857142854
3,300,150,-64.47058823529412,-57.27777777777778
4,250,150,-62.0,-54.666666666666664
5,200,150,-61.333333333333336,-62.25
6,150,150,-61.72222222222222,-60.8
7,100,150,-63.46666666666667,-66.05555555555556
8,50,150,-64.08333333333333,-57.9375
9,50,200,-64.44444444444444,-59.78947368421053
10,100,200,-61.84615384615385,-65.47368421052632
11,150,200,-56.411764705882355,-64.0
12,200,200,-57.4,-65.76923076923077
13,250,200,-60.666666666666664,-64.91666666666667
14,300,200,-64.6923076923077,-66.07692307692308
15,350,200,-60.642857142857146,-56.55555555555556
16,400,200,-67.33333333333333,-58.705882352941174
17,400,250,-60.416666666666664,-54.21052631578947
18,350,250,-61.9375,-61.6
19,300,250,-61.42857142857143,-57.5625
20,250,250,-63.9375,-59.15384615384615
21,200,250,-62.266666666666666,-57.5
22,150,250,-61.76923076923077,-58.95238095238095
23,100,250,-61.94117647058823,-60.77777777777778
24,50,250,-61.89473684210526,-58.666666666666664
25,50,300,-62.125,-64.2
26,100,300,-59.166666666666664,-60.111111111111114
27,150,300,-63.5,-60.470588235294116
28,200,300,-68.15384615384616,-54.46666666666667
29,250,300,-62.23529411764706,-63.0
30,300,300,-66.5625,-50.46153846153846
31,350,300,-63.76470588235294,-62.27777777777778
32,400,300,-64.83333333333333,-57.714285714285715
33,400,350,-66.0,-61.73684210526316
34,350,350,-67.0625,-65.0
35,300,350,-63.25,-62.5
36,250,350,-63.25,-60.578947368421055
37,200,350,-64.6470588235294,-66.36363636363636
38,150,350,-65.5625,-64.0
39,100,350,-60.529411764705884,-63.357142857142854
40,50,350,-66.0625,-65.47058823529412
41,50,400,-65.16666666666667,-67.14285714285714
42,100,400,-67.45,-71.70588235294117
43,150,400,-65.875,-66.4
44,200,400,-61.6875,-65.5
45,250,400,-64.0,-60.76190476190476
46,300,400,-58.92857142857143,-60.705882352941174
47,350,400,-69.6923076923077,-61.0
48,400,400,-65.88235294117646,-59.5
49,400,450,-70.58333333333333,-65.76470588235294
50,350,450,-63.53333333333333,-55.578947368421055
51,300,450,-60.25,-58.470588235294116
52,250,450,-61.0,-56.25
53,200,450,-64.46153846153847,-60.642857142857146
54,150,450,-63.76470588235294,-60.5625
55,100,450,-64.3,-58.357142857142854
56,50,450,-59.0,-62.05263157894737
