RP_ID,X,Y,2C:CF:67:C8:DD:D0,2C:CF:67:C8:DD:EA
1,400,150,-64.13333333333334,-63.75
2,350,150,-65.07142857142857,-57.285714285714285
3,300,150,-64.70588235294117,-57.666666666666664
4,250,150,-62.470588235294116,-55.111111111111114
5,200,150,-62.388888888888886,-62.9375
6,150,150,-60.666666666666664,-59.86666666666667
7,100,150,-64.53333333333333,-66.0
8,50,150,-65.16666666666667,-57.75
9,50,200,-64.0,-59.8421052631579
10,100,200,-62.69230769230769,-65.89473684210526
11,150,200,-56.88235294117647,-63.64705882352941
12,200,200,-58.266666666666666,-65.0
13,250,200,-60.8,-65.33333333333333
14,300,200,-64.53846153846153,-65.61538461538461
15,350,200,-60.785714285714285,-56.5
16,400,200,-67.66666666666667,-59.23529411764706
17,400,250,-61.416666666666664,-54.10526315789474
18,350,250,-63.125,-61.6
19,300,250,-61.523809523809526,-57.8125
20,250,250,-64.8125,-59.15384615384615
21,200,250,-61.6,-57.666666666666664
22,150,250,-62.23076923076923,-59.142857142857146
23,100,250,-62.0,-61.55555555555556
24,50,250,-62.36842105263158,-60.2
25,50,300,-62.9375,-64.95
26,100,300,-59.05555555555556,-60.611111111111114
27,150,300,-65.0,-60.529411764705884
28,200,300,-68.46153846153847,-54.86666666666667
29,250,300,-62.529411764705884,-64.38461538461539
30,300,300,-67.125,-50.76923076923077
31,350,300,-64.94117647058823,-62.166666666666664
32,400,300,-65.75,-58.357142857142854
33,400,350,-67.21428571428571,-62.0
34,350,350,-66.625,-64.93333333333334
35,300,350,-63.5,-62.214285714285715
36,250,350,-63.8125,-62.10526315789474
37,200,350,-64.58823529411765,-66.18181818181819
38,150,350,-65.375,-64.06666666666666
39,100,350,-61.1764705882353,-63.285714285714285
40,50,350,-65.8125,-67.05882352941177
41,50,400,-65.33333333333333,-68.42857142857143
42,100,400,-67.15,-71.88235294117646
43,150,400,-66.125,-66.53333333333333
44,200,400,-61.625,-65.83333333333333
45,250,400,-64.5625,-61.61904761904762
46,300,400,-59.5,-61.35294117647059
47,350,400,-70.76923076923077,-61.111111111111114
48,400,400,-66.05882352941177,-59.833333333333336
49,400,450,-70.41666666666667,-65.58823529411765
50,350,450,-64.06666666666666,-55.526315789473685
51,300,450,-59.583333333333336,-58.76470588235294
52,250,450,-60.529411764705884,-56.25
53,200,450,-64.76923076923077,-60.57142857142857
54,150,450,-64.88235294117646,-60.8125
55,100,450,-63.5,-58.57142857142857
56,50,450,-59.53846153846154,-61.8421052631579
