k,method,mean_error,std_error
3,Raw,250.41634705518098,66.90651827264819
3,Median,215.93353888215708,78.8665265372464
3,Kalman,200.19061320286772,46.61169391248747
5,Raw,241.20397104398566,66.56019634306612
5,Median,211.21498340507455,59.4021497976184
5,Kalman,213.88323163558883,34.336033916529225
2,Raw,244.15513878195586,79.68567416984271
2,Median,231.62771286786239,95.08370167337192
2,Kalman,185.2655169069463,63.19806909637099
1,Raw,246.05277362479222,125.90577175323422
1,Median,242.7161888875203,106.43888512804986
1,Kalman,201.71610139136075,96.74032955570904
4,Raw,248.9492425535441,63.41822124486651
4,Median,214.62701522906946,70.66071498048335
4,Kalman,205.66877340473854,41.26450644735911
5,Raw,241.20397104398566,66.56019634306612
5,Median,211.21498340507455,59.4021497976184
5,Kalman,213.88323163558883,34.336033916529225
6,Raw,235.14080744045606,68.58176722649013
6,Median,218.24531851185776,55.87652526654542
6,Kalman,209.56158871314952,26.746042556442475
