k,method,mean_error,std_error
3,Raw,183.1180743686629,50.58696156899221
3,Median,183.1180743686629,50.58696156899221
3,Kalman,164.914249156702,50.843253798584115
5,Raw,158.46085349008644,41.71520000183816
5,Median,159.39626963901895,42.761472272121885
5,Kalman,161.96390769318737,32.12441935721809
6,Raw,159.22006155693572,44.66768582024094
6,Median,155.85480264113144,49.45090095038793
6,Kalman,157.4291638579789,38.80387746939958
2,Raw,179.36086683483686,51.48891161876014
2,Median,175.36788830358722,50.05029793486874
2,Kalman,194.015659852214,38.27618828008947
1,Raw,225.86189406302654,81.63930572238839
1,Median,201.82991584667766,74.2609255889193
1,Kalman,305.59832126457707,65.48463536466959
4,Raw,159.92575855132623,50.041072077245055
4,Median,164.05458884060607,49.270779753141234
4,Kalman,167.8458869279412,39.49558327858496
3,Raw,183.1180743686629,50.58696156899221
3,Median,183.1180743686629,50.58696156899221
3,Kalman,164.914249156702,50.843253798584115
3,Raw,183.1180743686629,50.58696156899221
3,Median,183.1180743686629,50.58696156899221
